QtdCasosNovos,QtdSentencas,QtdProcessosBaixados,IdEstado,IdTribunal,IdTempo
22,30,18,41,42,2018
27,65,22,41,42,2019
19,18,28,41,42,2020
111,56,38,41,42,2021
18,16,14,42,43,2016
22,2,5,42,43,2017
38,14,4,42,43,2018
33,23,26,42,43,2019
21,16,116,42,43,2020
4,6,396,42,43,2021
9,7,6,43,44,2016
162,83,1381,43,44,2017
201,84,91,43,44,2018
216,175,158,43,44,2019
211,125,149,43,44,2020
191,245,203,43,44,2021
29,3,3,44,45,2016
37,13,10,44,45,2017
55,21,18,44,45,2018
71,28,22,44,45,2019
60,12,9,44,45,2020
56,28,16,44,45,2021
6,0,3,45,46,2016
34,0,7,45,46,2017
42,0,28,45,46,2018
43,23,44,45,46,2019
36,19,47,45,46,2020
36,32,62,45,46,2021
54,33,11,46,47,2016
84,31,13,46,47,2017
64,148,84,46,47,2018
185,149,41,46,47,2019
95,97,102,46,47,2020
94,195,164,46,47,2021
136,243,0,47,48,2016
7,0,0,47,48,2017
15,343,7,47,48,2018
18,17,18,47,48,2019
15,6,9,47,48,2020
29,25,21,47,48,2021
216,223,160,48,49,2016
258,252,187,48,49,2017
281,435,225,48,49,2018
301,511,239,48,49,2019
200,275,191,48,49,2020
414,224,170,48,49,2021
6,6,8,49,50,2016
21,10,8,49,50,2017
23,21,23,49,50,2018
37,29,23,49,50,2019
34,11,19,49,50,2020
33,34,19,49,50,2021
2,0,1,50,51,2016
6,2,2,50,51,2017
4,4,5,50,51,2018
7,7,6,50,51,2019
7,8,6,50,51,2020
4,14,9,50,51,2021
0,1,14,51,52,2016
18,41,27,51,52,2017
35,24,19,51,52,2018
23,36,24,51,52,2019
16,4,17,51,52,2020
16,17,28,51,52,2021
372,282,83,52,53,2016
366,488,428,52,53,2017
359,560,448,52,53,2018
348,572,564,52,53,2019
328,334,363,52,53,2020
328,480,449,52,53,2021
3,4,3,53,54,2016
18,3,3,53,54,2017
20,12,7,53,54,2018
19,26,20,53,54,2019
24,23,17,53,54,2020
18,26,28,53,54,2021
6,3,3,54,55,2016
14,7,10,54,55,2017
22,9,22,54,55,2018
30,29,32,54,55,2019
40,21,31,54,55,2020
46,30,27,54,55,2021
